Br,Bt,Bn,B,ddoy,Np,Vth,Vr,Vt,Vn,QF,Vsw,Beta_p,date
-20.683216,3.1537247,-20.850807,29.538069,259.8100694444444,32.605423,51.328556,366.9772,-46.068386,3.057324,0.0,369.94757,0.20694329,2023-09-16 19:26:30
-21.105837,10.258694,-18.159653,29.672716,259.8107638888889,30.338984,54.34019,367.54437,-16.209808,4.2153244,0.0,367.94263,0.21386336,2023-09-16 19:27:30
-13.7127075,25.396729,-9.978243,30.53846,259.81145833333335,24.801725,47.4923,400.7578,34.359066,12.840107,0.0,402.53983,0.12607867,2023-09-16 19:28:30
-12.717348,26.147652,-6.001964,29.689295,259.8121527777778,22.243399,41.458668,393.70374,38.706463,33.74186,0.0,397.07507,0.09116742,2023-09-16 19:29:30
-16.711557,17.027079,-16.339285,28.916601,259.8128472222222,25.142124,45.90012,377.15347,-7.414415,-7.3255124,0.0,377.50882,0.1331505,2023-09-16 19:30:30
-20.438139,19.378796,-10.331646,29.99997,259.81354166666665,24.938578,46.95904,369.18457,14.771391,18.926674,0.0,369.9769,0.12843288,2023-09-16 19:31:30
-21.041206,19.168573,-6.3509336,29.16335,259.8142361111111,22.619953,43.244053,365.15698,18.49288,46.198616,0.0,369.97684,0.10453876,2023-09-16 19:32:30
-23.04545,14.150944,-11.643319,29.443316,259.8149305555556,26.010414,47.629986,364.53403,-5.215126,9.136899,0.0,366.19998,0.14306794,2023-09-16 19:33:30
-20.665016,9.221112,-19.613768,29.946148,259.815625,26.567127,45.17145,357.5428,-23.163067,-11.174156,0.0,358.48145,0.12705696,2023-09-16 19:34:30
-17.082912,5.5265965,-21.804398,28.245369,259.81631944444445,31.039768,50.189804,399.83548,-99.05644,-54.435413,0.0,415.54242,0.2059978,2023-09-16 19:35:30
-18.420797,-1.2755708,-21.396088,28.262085,259.8170138888889,25.446722,45.748302,364.93063,-78.041275,-38.729053,0.0,375.21027,0.14014609,2023-09-16 19:36:30
