ddoy B Bx By Bz Np Vth Vsw
273.229 4.2364 1.77122 -3.01259 2.31715 16.7489 32.016 346.679
273.23 4.15214 1.00742 -3.87874 1.0517 16.3354 31.0049 346.747
273.231 4.32115 1.06188 -3.83445 1.66131 15.2981 31.1442 347.134
273.232 4.34609 1.49571 -3.72384 1.65081 15.5247 31.1747 347.201
273.233 4.28207 1.77446 -3.01999 2.35162 16.3405 30.3289 346.534
273.234 4.23649 1.39205 -3.24609 2.2921 15.8931 30.0791 347.186
273.235 4.35559 1.15648 -3.67661 1.96666 16.3669 32.9234 346.359
273.236 5.01653 0.455275 -4.83467 0.975884 15.3338 28.6541 348.598
273.238 4.90035 -0.219084 -4.8828 0.248014 15.1404 29.8474 349.249
273.239 4.75865 -0.327003 -4.70444 0.0614145 15.5751 30.0091 348.097
273.24 4.43038 -0.0175095 -4.37809 -0.15518 15.243 28.0026 349.142
273.241 4.15504 0.380843 -4.12112 0.269025 16.3243 29.6393 347.16
273.242 4.64719 0.245287 -4.47052 -0.492656 15.0423 30.0554 349.681
273.243 4.45548 -0.354802 -3.95403 -1.48472 15.0444 28.7055 347.845
273.244 5.23907 -0.584838 -4.49461 -2.38484 11.767 28.487 344.875
273.245 5.77561 -0.687406 -4.84066 -2.99841 12.9351 29.4384 346.913
273.247 5.49198 -0.200059 -5.18544 -1.78014 12.4969 29.7611 347.02
273.248 5.46425 -0.279812 -5.0373 -2.08077 12.1266 30.0338 347.11
273.249 5.54466 -0.448853 -5.03631 -2.20842 12.6387 29.8504 347.216
273.25 5.36758 0.547542 -5.20636 -0.798076 12.9874 27.0034 349.775
273.251 4.97065 1.23323 -4.79981 0.235041 13.4582 27.5274 349.247
273.252 4.44146 1.53164 -3.76773 1.62758 12.6852 26.7845 351.163
273.253 4.05716 1.52488 -2.9058 2.35843 14.8699 29.2257 348.272
273.254 4.55181 1.30834 -3.83264 1.94916 13.5665 28.7526 353.309
273.255 4.44161 1.66481 -3.92398 1.10392 13.6947 29.2281 348.831
273.257 4.36264 1.71768 -3.86744 0.897561 14.667 29.475 347.803
273.258 4.18782 1.68276 -3.81086 0.044444 15.3399 29.804 346.346
273.259 4.19844 1.78835 -3.68891 -0.297465 15.3658 28.4798 346.027
273.26 4.36505 1.94432 -3.78405 0.616564 13.9088 27.9018 346.858
273.261 4.18194 0.823647 -3.72187 1.05851 14.7787 27.7335 348.493
273.262 4.27539 0.137581 -2.93739 2.97209 15.0987 27.8439 351.637
273.263 4.17849 -0.539848 -1.09294 3.90604 14.8784 28.818 354.942
273.264 4.46856 -0.897681 0.861773 4.26631 14.4731 27.5479 355.807
273.267 4.54567 -1.62286 2.80395 2.99684 nan nan nan
273.269 4.69052 -1.20012 1.97033 3.97875 14.6946 29.4238 352.365
273.27 4.50219 -0.37963 -0.105972 4.22501 13.3428 25.7554 354.069
273.271 4.32902 1.13849 -2.94617 2.82985 13.9078 26.6325 349.934
273.272 4.43626 0.90231 -3.47117 2.56623 13.8966 26.4345 351.534
273.273 4.79544 2.09531 -3.31029 2.61685 13.8429 28.1641 346.997
273.274 4.93009 2.04175 -3.45293 2.67381 12.9471 27.0066 348.547
273.275 4.97543 1.18284 -3.56008 3.04778 14.4193 25.899 350.828
273.277 4.79242 0.564494 -2.17777 3.45114 13.9225 24.8594 349.962
273.278 4.39848 0.072297 3.16281 3.03949 14.4146 24.6899 351.612
273.279 4.61123 0.311218 2.74877 3.68156 14.4797 23.7425 351.369
273.28 4.65902 0.417849 2.11354 4.1239 14.3435 24.4853 350.832
273.281 4.44005 0.405609 1.94433 3.94491 14.103 24.1697 351.664
273.282 4.03662 0.612746 1.86776 3.48689 13.8418 25.5461 351.288
273.283 4.23643 1.12726 0.743168 3.93469 13.8142 27.4304 350.883
273.284 5.20808 1.42947 0.125449 4.99157 11.6946 25.3615 351.441
273.286 5.12853 1.36201 -0.57526 4.89191 12.4435 25.5413 350.753
273.287 5.57674 1.20437 -0.453769 5.41057 12.2378 25.0716 353.006
273.288 5.45805 1.62403 -0.568145 5.16151 10.5855 23.0954 354.864
273.289 4.79833 0.905251 -2.32046 3.73673 13.2358 26.2446 350.146
273.29 5.54413 0.0161864 -4.78436 2.77199 12.3063 23.33 350.566
273.291 5.35766 0.31488 -4.56776 2.75735 12.7905 24.4914 350.671
273.292 4.99078 0.436768 -4.13313 2.73795 13.577 23.471 350.017
273.293 5.36506 0.481585 -4.34523 2.91974 13.7987 25.615 347.491
273.295 6.37205 1.0081 -3.24305 5.34552 8.81222 25.3376 350.547
273.296 6.11949 0.368412 -2.14134 5.69351 9.01118 22.2289 354.94
273.297 6.0517 0.689885 -2.3662 5.5067 9.423 25.2519 349.547
273.298 6.01169 0.903505 -2.33688 5.36135 9.41374 26.2363 350.041
273.299 6.08536 1.06233 -3.19873 5.05829 9.21553 25.2973 352.149
273.3 6.55957 1.11763 -2.50412 5.93369 7.79134 23.5354 352.129
273.301 6.72564 1.15279 -2.80016 5.97884 7.14968 21.8897 352.084
273.302 6.79471 1.3895 -3.94429 5.32116 8.28131 23.9537 351.183
273.303 6.77265 1.39402 -3.15662 5.82106 8.44693 22.9211 351.727
273.304 6.77969 1.25515 -3.21901 5.82653 8.19086 24.2292 352.931
273.306 6.77435 1.14126 -3.14602 5.88214 8.25651 24.3364 353.541
273.307 6.80814 1.37042 -3.35538 5.76047 7.91436 22.5041 354.018
273.308 6.79733 1.41451 -2.91059 5.96952 8.2079 24.1753 354.022
273.309 6.84484 1.39559 -2.51868 6.20526 7.93869 22.8531 355.278
273.31 6.88621 1.42721 -2.28113 6.33702 7.70471 22.468 354.622
273.311 6.90266 1.43677 -2.19128 6.3821 7.94185 23.2354 354.261
273.312 6.93844 1.4888 -1.89025 6.49903 7.53251 21.9755 354.453
273.313 6.72959 1.71773 -1.06368 6.4065 8.02224 23.2833 354.986
273.315 6.65383 1.70369 -1.47328 6.25397 7.99279 22.7775 355.791
273.316 6.62152 2.20754 -1.71993 5.99996 8.72154 23.6008 354.357
273.317 6.65705 2.1653 -2.00543 5.9631 8.50459 23.2403 354.813
273.318 6.63548 2.05354 -2.181 5.91025 8.62807 22.7592 355.302
273.319 6.71125 1.62489 -1.00477 6.39275 8.4627 24.6396 356.391
273.32 6.63254 1.26294 -0.423691 6.44515 8.09361 23.6249 359.811
273.321 6.51492 1.34804 0.36694 6.3499 9.88614 22.0155 359.495
273.322 6.79564 1.14092 -0.22008 6.6879 8.58595 20.5325 359.773
273.323 6.83605 1.25781 -0.737147 6.67642 8.69358 20.7193 358.719
273.325 6.7943 1.19932 -0.897024 6.62594 8.96133 23.101 357.363
273.326 6.69989 1.44189 -1.04218 6.44174 10.1808 23.9646 353.398
273.327 6.65984 1.5266 -1.14461 6.37432 9.31963 21.3326 356.857
273.328 6.69796 1.42784 -1.66053 6.31766 9.36873 20.9961 357.209
273.329 6.71388 1.03089 -1.94408 6.33885 9.58445 20.6412 356.907
273.33 6.65921 1.30929 -1.62334 6.31818 9.30051 20.3073 356.338
273.331 6.4757 1.60198 0.669749 5.70835 9.85652 21.2501 355.517
273.332 6.27976 2.03163 4.56158 3.75459 11.1588 23.9498 355.258
273.333 6.56306 2.0485 3.55483 5.0944 9.80335 21.6896 354.735
