Br,Bt,Bn,B,ddoy,Vr,Vt,Vn,Np,Tp,Vsw,Beta_p,date
-18.791084,1.7977685,21.046562,28.2718,67.5822800925926,279.15164,-9.89561,8.080584,37.46467,5.582501,279.445,0.105364606,2022-03-08 13:58:29.999998
-18.511732,1.5043824,21.438175,28.364462,67.58297453703703,283.52798,-9.098986,9.939823,41.409157,6.996151,283.85123,0.14499645,2022-03-08 13:59:29.999995
-20.047539,0.6274185,20.337776,28.56436,67.58368055555556,279.50723,-11.775343,8.667195,33.150513,5.337629,279.89072,0.0873254,2022-03-08 14:00:30.000001
-18.87737,0.6075614,21.497776,28.616056,67.58436342592593,280.7287,-13.666013,8.510543,33.12503,5.4391913,281.19028,0.0885976,2022-03-08 14:01:29.999997
-18.87593,0.61924714,21.60641,28.697058,67.58506944444444,282.93668,-11.533906,6.5641932,36.79063,7.313909,283.2487,0.13157186,2022-03-08 14:02:30.000004
-19.746365,1.2766689,20.460724,28.463839,67.58576388888889,277.38538,-11.153675,5.2659507,35.670517,5.3368196,277.66214,0.09461411,2022-03-08 14:03:30.000000
-20.097229,1.2574387,20.498932,28.734753,67.58644675925926,277.17502,-12.078194,7.626645,37.843185,5.810149,277.5449,0.10722869,2022-03-08 14:04:29.999997
-20.256365,0.8678475,20.442453,28.791794,67.58715277777777,275.7543,-11.074448,8.804084,35.10115,5.315144,276.1188,0.09062539,2022-03-08 14:05:30.000003
-20.603119,0.81164736,19.985651,28.715387,67.58784722222222,274.4429,-10.137772,7.921236,34.457447,4.843089,274.75116,0.08149427,2022-03-08 14:06:30.000000
-21.917065,2.6613383,19.573156,29.505066,67.58853009259259,280.2697,-9.130473,1.9371231,31.697567,4.7424836,280.4254,0.069532774,2022-03-08 14:07:29.999996
-21.358591,1.5974811,19.997828,29.302807,67.5892361111111,278.3475,-7.9522595,2.907757,31.97365,5.2761564,278.47858,0.07911201,2022-03-08 14:08:30.000003
-22.630955,2.518321,18.422522,29.289782,67.58991898148147,275.11914,-13.66657,3.6665437,33.38736,4.633656,275.48816,0.0726147,2022-03-08 14:09:29.999999
